GBDT_f1,artist,athletes,company,government,new_sites,politician,public_figure,tvshow
GEMSEC,0.772921711423294,0.708063283615883,0.680371352785146,0.743339010053288,0.717780890735195,0.72355670405826,0.737859729013475,0.717743090362308
GEMSECWithRegularization,0.772921711423294,0.708284945475145,0.676426390033448,0.743339010053288,0.717816820624283,0.724223163841808,0.738573083679037,0.722063037249284
DeepWalk,0.772921711423294,0.709441658876519,0.680841011103236,0.743339010053288,0.71778955885372,0.724196675086648,0.737411817401366,0.721066972608633
DeepWalkWithRegularization,0.772921711423294,0.708141016565199,0.680410421296515,0.743339010053288,0.717774746169912,0.724042590740632,0.736979652790741,0.720514653323803
Node2vector,0.898607710534858,0.92138256268691,0.916743086056276,0.933551772970871,0.901585402333233,0.959875620403037,0.92150881630831,0.965758414687454
all other feature(with PCA),0.85819603307052,0.84755207642298,0.70319181902696,0.968223760092272,0.850679111234938,0.932053742802303,0.804666280778307,0.885050048433968
all other feature(without PCA),0.85819603307052,0.84755207642298,0.70319181902696,0.968223760092272,0.850679111234938,0.932053742802303,0.804666280778307,0.885050048433968
