GBDT_f1,GEMSEC,GEMSECWithRegularization,DeepWalk,DeepWalkWithRegularization,Node2vector,all other feature(with PCA),all other feature(without PCA)
artist,0.772530864197531,0.77247440965139,0.77247440965139,0.77247440965139,0.898607710534858,0.85819603307052,0.85819603307052
athletes,0.713295848242177,0.711242907245302,0.711102279501519,0.711252593582128,0.92138256268691,0.84755207642298,0.84755207642298
company,0.675187093011954,0.676152857754723,0.679992403380496,0.675183368144946,0.916743086056276,0.70319181902696,0.70319181902696
government,0.743339010053288,0.743339010053288,0.743339010053288,0.743339010053288,0.933551772970871,0.968223760092272,0.968223760092272
new_sites,0.717780890735195,0.717816820624283,0.71778955885372,0.717774746169912,0.901585402333233,0.850679111234938,0.850679111234938
politician,0.72355670405826,0.724223163841808,0.724196675086648,0.724042590740632,0.959875620403037,0.932053742802303,0.932053742802303
public_figure,0.737859729013475,0.738573083679037,0.737411817401366,0.736979652790741,0.92150881630831,0.804666280778307,0.804666280778307
tvshow,0.717743090362308,0.722063037249284,0.721066972608633,0.720514653323803,0.965758414687454,0.885050048433968,0.885050048433968
