RandomForest_f1,GEMSEC,GEMSECWithRegularization,DeepWalk,DeepWalkWithRegularization,Node2vector,all other feature(with PCA),all other feature(without PCA)
artist,0.605644436182361,0.640929154475151,0.631235437982084,0.661853581119857,0.766853149147704,0.85819603307052,0.85819603307052
athletes,0.641940349041214,0.640656602667448,0.653847318535566,0.651224105461394,0.786971936782645,0.84755207642298,0.84755207642298
company,0.611652018314826,0.58047056224456,0.607575043218607,0.609053058610014,0.760072522159548,0.70319181902696,0.70319181902696
government,0.671573252814997,0.692328842452571,0.699797466823857,0.703309762909264,0.809692253272019,0.968223760092272,0.968223760092272
new_sites,0.601988431458513,0.604788464540668,0.618662789071894,0.591789800494452,0.758567246426726,0.850679111234938,0.850679111234938
politician,0.677849740932643,0.677600568218506,0.684493346980553,0.677346715563276,0.823197533293971,0.932053742802303,0.932053742802303
public_figure,0.673509038688968,0.661953275952925,0.647815825800419,0.668782332739208,0.789681560108615,0.804666280778307,0.804666280778307
tvshow,0.667998770365816,0.664336726941194,0.658551810237203,0.669964445818519,0.795298726738491,0.885050048433968,0.885050048433968
