RandomForest_f1,artist,athletes,company,government,new_sites,politician,public_figure,tvshow
GEMSEC,0.605644436182361,0.641940349041214,0.611652018314826,0.671573252814997,0.601988431458513,0.677849740932643,0.673509038688968,0.667998770365816
GEMSECWithRegularization,0.640929154475151,0.640656602667448,0.58047056224456,0.692328842452571,0.604788464540668,0.677600568218506,0.661953275952925,0.664336726941194
DeepWalk,0.631235437982084,0.653847318535566,0.607575043218607,0.699797466823857,0.618662789071894,0.684493346980553,0.647815825800419,0.658551810237203
DeepWalkWithRegularization,0.661853581119857,0.651224105461394,0.609053058610014,0.703309762909264,0.591789800494452,0.677346715563276,0.668782332739208,0.669964445818519
Node2vector,0.766853149147704,0.786971936782645,0.760072522159548,0.809692253272019,0.758567246426726,0.823197533293971,0.789681560108615,0.795298726738491
all other feature(with PCA),0.85819603307052,0.84755207642298,0.70319181902696,0.968223760092272,0.850679111234938,0.932053742802303,0.804666280778307,0.885050048433968
all other feature(without PCA),0.85819603307052,0.84755207642298,0.70319181902696,0.968223760092272,0.850679111234938,0.932053742802303,0.804666280778307,0.885050048433968
