0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-2.3166196,-0.28299877,-2.4079506,-1.7404172,-0.44987163,-5.8899693,-2.8756418,3.922847,2.9719942,-6.355753,-9.659108,-1.7088193,-1.1035184,2.5391726,7.6780534,-4.600451
3.0390787,1.4449754,4.530718,0.34080887,0.48899907,5.5355945,2.7252302,-6.1017656,-3.260756,2.6402757,8.419592,3.5162928,1.7954922,-2.4232697,-9.135724,2.9499443
-2.8167067,3.1933966,-4.438549,3.311717,0.19703157,-7.027371,-3.9228187,0.2081707,1.8567679,-0.002286546,-9.037151,-3.4320016,-2.3558142,-0.02875072,7.3175163,3.4801388
-2.31758,4.064581,-3.841183,4.614584,1.2927808,-4.9826455,2.0557516,-3.819136,0.5006053,2.556732,-4.895877,-3.539281,-1.2453693,-0.8308205,1.6333265,10.701711
3.7327864,0.5056081,2.889969,0.6390318,0.75644463,3.7906635,2.5811045,-3.1095297,-2.5814762,1.765077,6.5480547,0.9298743,0.48125768,-1.3737503,-9.472086,2.082107
0.0629985,-2.1095827,1.4672295,-1.6132108,-0.59678453,1.4636972,-0.9789083,3.1965678,-0.6124898,-4.3653193,-2.2855096,1.7088578,0.2869649,-0.21160738,-0.05827533,-5.9913554
3.6261787,0.98383445,3.6181521,0.7794793,1.9358282,3.7459302,4.998897,-4.4339194,-1.8584988,2.369625,10.012555,2.6978772,0.65882415,-1.4567297,-9.326765,2.3746974
-1.5050117,-4.926441,0.5051028,-3.6157908,-3.0759516,-2.0092022,-4.7445397,7.0063004,-0.40448198,-6.299024,-7.1371675,-1.0322192,-0.6060262,0.0031041065,5.493173,-9.55991
-3.1605299,-2.7388399,-3.4226396,-1.0249163,-1.6900421,-5.541387,-4.9422483,4.976698,1.2284889,-4.936008,-10.702304,-2.0450191,-1.4866133,1.5481414,8.1600485,-5.0477843
0.5292123,1.6060208,0.9556949,2.8546193,1.6771314,0.45281565,3.8287592,-5.0152845,-1.6491166,3.0301318,6.499436,0.29569218,0.3314557,-1.1445609,-6.3682404,5.2379003
-1.8163465,1.6685116,-2.932928,0.27801657,0.07834288,-7.9448714,-1.4427558,1.2633414,1.9775343,0.52368176,-6.90563,-4.72264,-0.25067982,1.0550163,6.5873585,5.5417676
2.1036894,-2.6529686,0.3367401,-3.6984525,-3.0413203,2.528644,-1.1693066,6.449477,-2.4982784,-7.103937,-3.837246,3.3149848,0.27901024,-0.019072697,-0.034082696,-9.143011
3.3237393,0.019931298,4.244395,1.4227167,1.3407884,5.7141147,4.089369,-6.0804715,-2.7317455,4.4453425,11.969225,2.808668,1.1226416,-1.8798232,-13.132519,3.6101737
-3.801457,1.580784,-3.2037733,0.7734364,0.2146864,-8.482779,-2.8748198,2.5071542,1.4502697,0.13591328,-12.436074,-3.1647382,-0.26756293,0.25860813,10.561757,3.8024457
-1.1804253,1.146311,-3.3750143,0.56875753,0.61014456,-4.2517962,-1.3620335,0.9408985,0.3565264,0.6762872,-5.173578,-0.96069735,-0.8964076,-0.067574345,5.0225224,2.9799788
3.3502078,-0.061904144,3.6915257,1.1783761,0.9986168,4.470883,2.866633,-2.7644546,-2.1631172,0.29594404,7.897715,3.8133817,1.2336549,-1.1459129,-7.3536386,2.048963
-1.5043663,2.7373483,-2.222462,1.6131072,1.6778982,-8.648516,-2.3895478,2.665984,0.43636888,-0.32231086,-8.310455,-2.7781644,-0.5535632,2.080429,9.769473,5.610304
-2.4111073,-1.1026387,-3.851332,-2.169998,-0.7337602,-8.725229,-1.8981707,4.017106,1.9617853,-3.1223652,-12.159473,-2.1346889,-1.0000907,2.8814013,8.526063,-1.7558658
4.3491383,-0.7850641,5.312598,1.4928802,2.0114987,5.1218643,2.4645429,-7.0146527,-2.2960837,3.8005345,9.3426285,3.9590077,1.0565536,-1.4417418,-11.698127,2.9671967
3.5966625,-0.14022301,2.8657606,-0.17906244,0.15306216,3.4132285,2.2791615,-4.366112,-2.4016614,1.5932621,6.210495,2.00526,0.17744762,-2.2221036,-5.9198327,2.736414
-2.7747796,-2.4058383,-0.18774582,-3.3637784,-1.239912,-2.9681,-2.3642776,4.140368,1.2083607,-4.0014334,-7.0965543,-1.0921007,-0.7700896,2.4357665,4.6569567,-2.2080448
3.1942115,0.23599844,3.7193227,1.0551988,1.4922843,4.8258476,4.018497,-6.2099175,-2.6455994,3.0147295,9.1935005,2.140308,1.1364275,-1.8687534,-12.080047,3.6599286
2.5939662,0.03343583,3.6443913,0.76573575,1.3033981,5.305481,3.5013428,-5.676152,-2.602917,2.6660397,11.030012,2.6709065,1.2015111,-2.0504134,-12.005794,4.8411584
0.46568477,-6.485501,2.1626453,-3.5322907,-3.430474,1.3170395,-6.31954,8.235084,-1.7617862,-11.448282,-6.2941966,2.6588244,-0.90272874,0.35213995,-1.1948274,-12.1339035
2.6605632,0.34859598,1.9844971,0.40028492,1.7821302,3.4002135,3.7749326,-4.769356,-2.381663,2.637639,6.545989,1.8668447,0.23190646,-2.7343993,-6.251835,3.6779854
-1.9146086,1.5909634,-3.40435,0.08014071,0.9779997,-8.358667,-1.980432,1.3114761,1.9837837,-0.41342333,-10.447571,-4.250539,-1.2056403,2.2147682,7.3522453,3.450745
-1.977953,-1.4767042,-3.9609897,-0.6807874,-0.58387566,-8.332801,-2.4449337,1.6541495,1.4834318,-1.11844,-8.345907,-3.8779156,-1.4464325,1.9885943,7.839131,3.30876
-1.1093758,-3.6191828,-1.3241332,-2.963147,-3.0774093,-3.235013,-2.166721,3.543602,-0.28719115,-5.53383,-6.9398456,1.0067955,-0.34741867,0.8310244,3.9704885,-4.8934817
